study_name;model_label;seq_length;features_length;accuracy_avg;accuracy_std;pneumonia_precision_avg;pneumonia_precision_std;pneumonia_recall_std;pneumonia_recall_std;pneumonia_f1_avg;pneumonia_f1_std;covid_precision_avg;covid_precision_std;covid_recall_avg;covid_recall_std;covid_f1_avg;covid_f1_std;healthy_precision_avg;healthy_precision_std;healthy_recall_avg;healthy_recall_std;healthy_f1_avg;healthy_f1_std
experiment_1;nasnetmobile-5;5;1056;0.74;0.12;0.92;0.12;0.6;0.26;0.67;0.25;0.8;0.1;0.75;0.07;0.77;0.07;0.67;0.14;0.85;0.14;0.74;0.13
experiment_1;nasnetmobile-10;10;1056;0.9;0.19;0.88;0.19;0.86;0.28;0.87;0.25;0.89;0.21;0.89;0.18;0.89;0.2;0.92;0.16;0.94;0.12;0.93;0.14
experiment_1;nasnetmobile-15;15;1056;0.92;0.17;0.93;0.13;0.84;0.32;0.86;0.28;0.9;0.2;0.97;0.06;0.93;0.15;0.95;0.11;0.92;0.15;0.93;0.13
experiment_1;nasnetmobile-20;20;1056;0.83;0.2;0.78;0.23;0.74;0.34;0.74;0.3;0.84;0.21;0.94;0.05;0.87;0.15;0.89;0.16;0.8;0.29;0.83;0.25
experiment_1;resnet152v2-5;5;2048;0.84;0.21;0.89;0.23;0.7;0.28;0.77;0.24;0.83;0.19;0.86;0.28;0.84;0.24;0.86;0.22;0.94;0.12;0.89;0.18
experiment_1;resnet152v2-10;10;2048;0.91;0.18;0.93;0.13;0.84;0.32;0.86;0.28;0.91;0.17;0.92;0.15;0.92;0.16;0.91;0.19;0.95;0.09;0.92;0.15
experiment_1;resnet152v2-15;15;2048;0.89;0.21;0.88;0.24;0.84;0.32;0.85;0.29;0.94;0.11;0.88;0.25;0.9;0.2;0.88;0.23;0.95;0.09;0.91;0.18
experiment_1;resnet152v2-20;20;2048;0.91;0.18;0.89;0.23;0.86;0.28;0.87;0.26;0.91;0.18;0.91;0.18;0.91;0.18;0.92;0.15;0.95;0.09;0.94;0.12
experiment_1;vgg16-5;5;25088;0.82;0.18;0.79;0.17;0.76;0.24;0.77;0.2;0.83;0.18;0.88;0.09;0.84;0.13;0.85;0.22;0.8;0.26;0.82;0.24
experiment_1;vgg16-10;10;25088;0.72;0.23;0.65;0.39;0.66;0.4;0.65;0.39;0.73;0.28;0.74;0.25;0.7;0.23;0.78;0.12;0.75;0.29;0.74;0.22
